pId,condition,timestamp,HR,HRV
p001_tamil_iteration1,2,2023-04-12T09:35:16.729+12:00,51,1270
p001_tamil_iteration1,2,2023-04-12T09:35:16.892+12:00,51,1270
p001_tamil_iteration1,2,2023-04-12T09:35:18.275+12:00,51,1358
p001_tamil_iteration1,2,2023-04-12T09:35:19.738+12:00,51,1425
p001_tamil_iteration1,2,2023-04-12T09:35:19.741+12:00,50,1425
p001_tamil_iteration1,2,2023-04-12T09:35:20.795+12:00,50,1236
p001_tamil_iteration1,2,1970-01-20T23:00:48.920+12:00,50,1236
p001_tamil_iteration1,2,2023-04-12T09:35:21.932+12:00,50,1174
p001_tamil_iteration1,2,2023-04-12T09:35:22.744+12:00,49,1174
p001_tamil_iteration1,2,2023-04-12T09:35:23.150+12:00,49,1222
p001_tamil_iteration1,2,2023-04-12T09:35:23.719+12:00,48,1222
p001_tamil_iteration1,2,2023-04-12T09:35:24.369+12:00,48,1272
p001_tamil_iteration1,2,2023-04-12T09:35:24.775+12:00,49,1272
p001_tamil_iteration1,2,1970-01-20T23:00:48.923+12:00,49,1272
p001_tamil_iteration1,2,2023-04-12T09:35:25.670+12:00,,1253
p001_tamil_iteration1,2,1970-01-20T23:00:48.924+12:00,,
p001_tamil_iteration1,2,2023-04-12T09:35:26.726+12:00,,1207
p001_tamil_iteration1,2,2023-04-12T09:35:28.106+12:00,,1298
p001_tamil_iteration1,2,2023-04-12T09:35:28.755+12:00,48,
p001_tamil_iteration1,2,2023-04-12T09:35:29.570+12:00,,1238
p001_tamil_iteration1,2,1970-01-20T23:00:48.928+12:00,,
p001_tamil_iteration1,2,2023-04-12T09:35:30.544+12:00,,1237
p001_tamil_iteration1,2,1970-01-20T23:00:48.929+12:00,,
p001_tamil_iteration1,2,2023-04-12T09:35:31.762+12:00,,1212
p001_tamil_iteration1,2,2023-04-12T09:35:31.763+12:00,49,
p001_tamil_iteration1,2,1970-01-20T23:00:48.930+12:00,,
p001_tamil_iteration1,2,1970-01-20T23:00:48.932+12:00,,
p001_tamil_iteration1,2,2023-04-12T09:35:33.063+12:00,,1252
p001_tamil_iteration1,2,1970-01-20T23:00:48.933+12:00,,
p001_tamil_iteration1,2,2023-04-12T09:35:34.282+12:00,,1270
p001_tamil_iteration1,2,2023-04-12T09:35:35.745+12:00,,1190
p001_tamil_iteration1,2,1970-01-20T23:00:48.934+12:00,,
p001_tamil_iteration1,2,1970-01-20T23:00:48.935+12:00,,
p001_tamil_iteration1,2,2023-04-12T09:35:36.879+12:00,,1319
p001_tamil_iteration1,2,2023-04-12T09:35:37.854+12:00,48,
p001_tamil_iteration1,2,1970-01-20T23:00:48.937+12:00,,
p001_tamil_iteration1,2,2023-04-12T09:35:38.182+12:00,,1298
p001_tamil_iteration1,2,2023-04-12T09:35:39.401+12:00,,1117
